,Label,Prob0,Prob1,aScore0,aScore1
149,1,0.0624,0.9376,0.0624,0.9376
150,1,0.0,1.0,0.0000,1.0
151,1,0.0032,0.9968,0.0032,0.9968
152,1,0.0006,0.9994,0.0006,0.9994
153,1,0.1761,0.8239,0.1761,0.8239
154,1,0.0137,0.9863,0.0137,0.9863
155,1,0.0035,0.9965,0.0035,0.9965
156,1,0.0548,0.9452,0.0548,0.9452
157,1,0.0031,0.9969,0.0031,0.9969
158,1,0.0028,0.9972,0.0028,0.9972
159,1,0.0025,0.9975,0.0025,0.9975
160,1,0.0003,0.9997,0.0003,0.9997
161,1,0.0001,0.9999,0.0001,0.9999
162,1,0.0171,0.9829,0.0171,0.9829
163,1,0.0685,0.9315,0.0685,0.9315
164,1,0.0,1.0,0.0000,1.0
165,1,0.0001,0.9999,0.0001,0.9999
166,1,0.0026,0.9974,0.0026,0.9974
167,1,0.0043,0.9957,0.0043,0.9957
168,1,0.0042,0.9958,0.0042,0.9958
169,1,0.0012,0.9988,0.0012,0.9988
170,1,0.0003,0.9997,0.0003,0.9997
171,1,0.0005,0.9995,0.0005,0.9995
172,1,0.0001,0.9999,0.0001,0.9999
173,1,0.0024,0.9976,0.0024,0.9976
174,1,0.0,1.0,0.0000,1.0
175,1,0.0012,0.9988,0.0012,0.9988
176,1,0.0,1.0,0.0000,1.0
177,1,0.0007,0.9993,0.0007,0.9993
178,1,0.0002,0.9998,0.0002,0.9998
179,1,0.0022,0.9978,0.0022,0.9978
180,1,0.0001,0.9999,0.0001,0.9999
181,1,0.0023,0.9977,0.0023,0.9977
182,1,0.0,1.0,0.0000,1.0
183,1,0.1302,0.8698,0.1302,0.8698
184,1,0.0222,0.9778,0.0222,0.9778
185,1,0.001,0.999,0.0010,0.999
186,1,0.0001,0.9999,0.0001,0.9999
187,1,0.0064,0.9936,0.0064,0.9936
188,1,0.007,0.993,0.0070,0.993
189,1,0.0001,0.9999,0.0001,0.9999
190,1,0.3002,0.6998,0.3002,0.6998
191,1,0.0203,0.9797,0.0203,0.9797
192,1,0.0087,0.9913,0.0087,0.9913
193,1,0.0042,0.9958,0.0042,0.9958
194,1,0.0,1.0,0.0000,1.0
195,1,0.0053,0.9947,0.0053,0.9947
196,1,0.0023,0.9977,0.0023,0.9977
197,1,0.0001,0.9999,0.0001,0.9999
198,1,0.0002,0.9998,0.0002,0.9998
199,1,0.0002,0.9998,0.0002,0.9998
200,1,0.0018,0.9982,0.0018,0.9982
201,1,0.002,0.998,0.0020,0.998
202,1,0.0001,0.9999,0.0001,0.9999
203,1,0.0,1.0,0.0000,1.0
204,1,0.0003,0.9997,0.0003,0.9997
205,1,0.018,0.982,0.0180,0.982
206,1,0.0021,0.9979,0.0021,0.9979
207,1,0.0,1.0,0.0000,1.0
208,1,0.0385,0.9615,0.0385,0.9615
209,1,0.0236,0.9764,0.0236,0.9764
210,1,0.0047,0.9953,0.0047,0.9953
211,1,0.0002,0.9998,0.0002,0.9998
212,1,0.204,0.796,0.2040,0.796
213,1,0.0573,0.9427,0.0573,0.9427
214,1,0.0003,0.9997,0.0003,0.9997
215,1,0.0,1.0,0.0000,1.0
216,1,0.0011,0.9989,0.0011,0.9989
217,1,0.0001,0.9999,0.0001,0.9999
218,1,0.0012,0.9988,0.0012,0.9988
219,1,0.0001,0.9999,0.0001,0.9999
220,1,0.0032,0.9968,0.0032,0.9968
221,1,0.0009,0.9991,0.0009,0.9991
222,1,0.0001,0.9999,0.0001,0.9999
223,1,0.0,1.0,0.0000,1.0
224,1,0.0003,0.9997,0.0003,0.9997
225,1,0.0001,0.9999,0.0001,0.9999
226,1,0.2428,0.7572,0.2428,0.7572
227,1,0.0021,0.9979,0.0021,0.9979
228,1,0.0001,0.9999,0.0001,0.9999
229,1,0.0032,0.9968,0.0032,0.9968
230,1,0.0488,0.9512,0.0488,0.9512
231,1,0.0973,0.9027,0.0974,0.9026
232,1,0.0011,0.9989,0.0011,0.9989
233,1,0.001,0.999,0.0010,0.999
234,1,0.0002,0.9998,0.0002,0.9998
235,1,0.0058,0.9942,0.0058,0.9942
236,1,0.0015,0.9985,0.0015,0.9985
237,1,0.0047,0.9953,0.0047,0.9953
238,1,0.0029,0.9971,0.0029,0.9971
239,1,0.0,1.0,0.0000,1.0
240,1,0.0003,0.9997,0.0003,0.9997
241,1,0.0003,0.9997,0.0003,0.9997
242,1,0.001,0.999,0.0010,0.999
243,1,0.0005,0.9995,0.0005,0.9995
244,1,0.006,0.994,0.0060,0.994
245,1,0.0021,0.9979,0.0021,0.9979
246,1,0.0,1.0,0.0000,1.0
247,1,0.0074,0.9926,0.0074,0.9926
248,1,0.0029,0.9971,0.0029,0.9971
249,1,0.004,0.996,0.0040,0.996
