,Label,Prob0,Prob1
233,1,0.001,0.999
234,1,0.0002,0.9998
235,1,0.0058,0.9942
236,1,0.0015,0.9985
237,1,0.0047,0.9953
238,1,0.0029,0.9971
239,1,0.0,1.0
240,1,0.0003,0.9997
241,1,0.0003,0.9997
242,1,0.001,0.999
243,1,0.0005,0.9995
244,1,0.006,0.994
245,1,0.0021,0.9979
246,1,0.0,1.0
247,1,0.0074,0.9926
248,1,0.0029,0.9971
249,1,0.004,0.996
250,1,0.0023,0.9977
251,1,0.0051,0.9949
252,1,0.0003,0.9997
253,1,0.0086,0.9914
254,1,0.0002,0.9998
255,1,0.0,1.0
256,1,0.0217,0.9783
257,1,0.0295,0.9705
258,1,0.1136,0.8864
259,1,0.0046,0.9954
260,1,0.0006,0.9994
261,1,0.0043,0.9957
262,1,0.2472,0.7528
263,1,0.0081,0.9919
264,1,0.0039,0.9961
265,1,0.0025,0.9975
266,1,0.0695,0.9305
267,1,0.0005,0.9995
268,1,0.3294,0.6706
269,1,0.0001,0.9999
270,1,0.0,1.0
271,1,0.0013,0.9987
272,1,0.0001,0.9999
273,1,0.0,1.0
274,1,0.0188,0.9812
275,1,0.0005,0.9995
276,1,0.0003,0.9997
277,1,0.0067,0.9933
278,1,0.0002,0.9998
279,1,0.0001,0.9999
280,1,0.0009,0.9991
281,1,0.003,0.997
282,1,0.0002,0.9998
283,1,0.0,1.0
284,1,0.0099,0.9901
285,1,0.0018,0.9982
286,1,0.0008,0.9992
287,1,0.0001,0.9999
288,1,0.0014,0.9986
289,1,0.0001,0.9999
290,1,0.0042,0.9958
291,1,0.0001,0.9999
292,1,0.0004,0.9996
293,1,0.0315,0.9685
294,1,0.0001,0.9999
295,1,0.0001,0.9999
296,1,0.0001,0.9999
297,1,0.0242,0.9758
298,1,0.0,1.0
299,1,0.122,0.878
300,1,0.0003,0.9997
301,1,0.0001,0.9999
302,1,0.002,0.998
303,1,0.0011,0.9989
304,1,0.0001,0.9999
305,1,0.0001,0.9999
306,1,0.0,1.0
307,1,0.0004,0.9996
308,1,0.0001,0.9999
309,1,0.0001,0.9999
310,1,0.0196,0.9804
311,1,0.0037,0.9963
312,1,0.0001,0.9999
313,1,0.0,1.0
314,0,0.5875,0.4125
315,1,0.306,0.694
316,1,0.0001,0.9999
317,1,0.0004,0.9996
318,1,0.0171,0.9829
319,1,0.0002,0.9998
320,1,0.0075,0.9925
321,1,0.0012,0.9988
322,1,0.086,0.914
323,1,0.0,1.0
324,1,0.2608,0.7392
325,1,0.0045,0.9955
326,1,0.0002,0.9998
327,1,0.0001,0.9999
328,1,0.0001,0.9999
329,1,0.0109,0.9891
330,1,0.0043,0.9957
331,1,0.0015,0.9985
332,1,0.0002,0.9998
333,1,0.0164,0.9836
334,1,0.0001,0.9999
335,1,0.008,0.992
336,1,0.0026,0.9974
337,1,0.0019,0.9981
338,1,0.0495,0.9505
339,1,0.0001,0.9999
340,0,0.5737,0.4263
341,1,0.0003,0.9997
342,1,0.0001,0.9999
343,1,0.0011,0.9989
344,1,0.0057,0.9943
345,1,0.0008,0.9992
346,1,0.001,0.999
347,1,0.0002,0.9998
348,1,0.0,1.0
349,1,0.0104,0.9896
350,1,0.0,1.0
351,1,0.0,1.0
352,1,0.0012,0.9988
353,1,0.0004,0.9996
354,1,0.0,1.0
355,1,0.0008,0.9992
356,1,0.0187,0.9813
357,1,0.0,1.0
358,1,0.0002,0.9998
359,1,0.002,0.998
360,1,0.0002,0.9998
361,1,0.0,1.0
362,1,0.0026,0.9974
363,1,0.0,1.0
364,1,0.0001,0.9999
365,1,0.0004,0.9996
366,1,0.0,1.0
367,1,0.0024,0.9976
368,1,0.0001,0.9999
369,1,0.0029,0.9971
370,1,0.0465,0.9535
371,1,0.0006,0.9994
372,1,0.0048,0.9952
373,1,0.0072,0.9928
374,1,0.0001,0.9999
375,1,0.1955,0.8045
376,1,0.0,1.0
377,1,0.001,0.999
378,1,0.1843,0.8157
379,1,0.0004,0.9996
380,1,0.0,1.0
381,1,0.0001,0.9999
382,1,0.0002,0.9998
383,1,0.0,1.0
384,1,0.0034,0.9966
385,1,0.0,1.0
386,1,0.002,0.998
387,1,0.0002,0.9998
388,1,0.0008,0.9992
389,1,0.0023,0.9977
390,1,0.0058,0.9942
391,1,0.0545,0.9455
392,1,0.0042,0.9958
393,1,0.0284,0.9716
394,1,0.0002,0.9998
395,1,0.0021,0.9979
396,1,0.0003,0.9997
397,1,0.1179,0.8821
398,1,0.0004,0.9996
399,1,0.0138,0.9862
400,1,0.099,0.901
401,1,0.0423,0.9577
402,1,0.0,1.0
403,1,0.0007,0.9993
404,1,0.0074,0.9926
405,1,0.0002,0.9998
406,1,0.0007,0.9993
407,1,0.0005,0.9995
408,1,0.0007,0.9993
409,1,0.0006,0.9994
410,1,0.0001,0.9999
411,1,0.0,1.0
412,1,0.0038,0.9962
413,1,0.0072,0.9928
414,1,0.0053,0.9947
415,1,0.1053,0.8947
416,1,0.0001,0.9999
417,1,0.0024,0.9976
418,1,0.0009,0.9991
419,1,0.0001,0.9999
420,1,0.001,0.999
421,1,0.0001,0.9999
422,1,0.0001,0.9999
423,1,0.0012,0.9988
424,1,0.0176,0.9824
425,1,0.0012,0.9988
426,1,0.0031,0.9969
427,1,0.0005,0.9995
428,1,0.0847,0.9153
429,1,0.0002,0.9998
430,1,0.0257,0.9743
431,1,0.0001,0.9999
432,1,0.0,1.0
433,1,0.0059,0.9941
434,1,0.0001,0.9999
435,1,0.0009,0.9991
436,1,0.0043,0.9957
437,1,0.1059,0.8941
438,1,0.0,1.0
439,1,0.0116,0.9884
440,1,0.0031,0.9969
441,1,0.001,0.999
442,1,0.4832,0.5168
443,1,0.118,0.882
444,1,0.0003,0.9997
445,1,0.032,0.968
446,1,0.0066,0.9934
447,1,0.0,1.0
448,1,0.0001,0.9999
449,1,0.0,1.0
450,1,0.0002,0.9998
451,1,0.0003,0.9997
452,1,0.0001,0.9999
453,1,0.0,1.0
454,1,0.0014,0.9986
455,1,0.0002,0.9998
456,1,0.0355,0.9645
457,1,0.0,1.0
458,1,0.0342,0.9658
459,1,0.0032,0.9968
460,1,0.003,0.997
461,1,0.0021,0.9979
462,1,0.0001,0.9999
463,1,0.0,1.0
464,1,0.0036,0.9964
465,1,0.0004,0.9996
466,1,0.0,1.0
467,1,0.0,1.0
468,1,0.0004,0.9996
469,1,0.0002,0.9998
470,1,0.0028,0.9972
471,1,0.002,0.998
472,1,0.057,0.943
473,1,0.0,1.0
474,1,0.0259,0.9741
475,1,0.0002,0.9998
476,1,0.0002,0.9998
477,1,0.0001,0.9999
478,1,0.0045,0.9955
479,1,0.0003,0.9997
480,1,0.0003,0.9997
481,1,0.0005,0.9995
482,1,0.0524,0.9476
483,1,0.0002,0.9998
484,1,0.0006,0.9994
485,1,0.0122,0.9878
486,1,0.0001,0.9999
487,1,0.0016,0.9984
488,1,0.0001,0.9999
489,1,0.0744,0.9256
490,1,0.0125,0.9875
491,1,0.0001,0.9999
492,1,0.0001,0.9999
493,1,0.0002,0.9998
494,1,0.0722,0.9278
495,1,0.0334,0.9666
496,1,0.001,0.999
497,1,0.0022,0.9978
498,1,0.0,1.0
499,1,0.0001,0.9999
500,1,0.0003,0.9997
501,1,0.0,1.0
502,1,0.0003,0.9997
503,1,0.0024,0.9976
504,1,0.0,1.0
505,1,0.0,1.0
506,1,0.0058,0.9942
507,1,0.0067,0.9933
508,1,0.0,1.0
509,1,0.0,1.0
510,1,0.0144,0.9856
511,1,0.0006,0.9994
512,1,0.0016,0.9984
513,1,0.0004,0.9996
514,1,0.0183,0.9817
515,1,0.0011,0.9989
516,1,0.0028,0.9972
517,1,0.0001,0.9999
518,1,0.0545,0.9455
519,1,0.0005,0.9995
520,1,0.0,1.0
521,1,0.0002,0.9998
522,1,0.0008,0.9992
523,1,0.0035,0.9965
524,1,0.0002,0.9998
525,1,0.0007,0.9993
526,1,0.0001,0.9999
527,1,0.0001,0.9999
528,1,0.0001,0.9999
529,0,0.5691,0.4309
530,1,0.0164,0.9836
531,1,0.0669,0.9331
532,1,0.0034,0.9966
533,1,0.0001,0.9999
534,1,0.0002,0.9998
535,1,0.0044,0.9956
536,1,0.0031,0.9969
537,1,0.0002,0.9998
538,1,0.1178,0.8822
539,1,0.0001,0.9999
540,1,0.0003,0.9997
541,1,0.0001,0.9999
542,1,0.0088,0.9912
543,1,0.0007,0.9993
544,1,0.2193,0.7807
545,1,0.0,1.0
546,1,0.0,1.0
547,1,0.0029,0.9971
548,1,0.0008,0.9992
549,1,0.0001,0.9999
550,1,0.0807,0.9193
551,1,0.0003,0.9997
552,1,0.0025,0.9975
553,1,0.0001,0.9999
554,1,0.0005,0.9995
555,1,0.0526,0.9474
556,1,0.0001,0.9999
557,1,0.0001,0.9999
558,1,0.0318,0.9682
559,1,0.0373,0.9627
560,1,0.0046,0.9954
561,1,0.0001,0.9999
562,1,0.0003,0.9997
563,1,0.0002,0.9998
564,1,0.0001,0.9999
565,1,0.0005,0.9995
566,1,0.0006,0.9994
567,1,0.0005,0.9995
568,1,0.0001,0.9999
569,1,0.0001,0.9999
570,1,0.0031,0.9969
571,1,0.0003,0.9997
572,1,0.0,1.0
573,1,0.0218,0.9782
574,1,0.0709,0.9291
575,1,0.0,1.0
576,1,0.0,1.0
577,1,0.0,1.0
578,1,0.0001,0.9999
579,1,0.001,0.999
580,0,0.5171,0.4829
581,1,0.0055,0.9945
582,1,0.011,0.989
583,1,0.0,1.0
584,1,0.0086,0.9914
585,1,0.0066,0.9934
586,1,0.0076,0.9924
587,1,0.0163,0.9837
588,1,0.0,1.0
589,1,0.1424,0.8576
590,1,0.005,0.995
591,1,0.0057,0.9943
592,1,0.0846,0.9154
593,1,0.0068,0.9932
594,1,0.0175,0.9825
595,1,0.0425,0.9575
596,1,0.0001,0.9999
597,1,0.0032,0.9968
598,1,0.0001,0.9999
599,1,0.0006,0.9994
600,1,0.0003,0.9997
601,1,0.0002,0.9998
602,1,0.0003,0.9997
603,1,0.0077,0.9923
604,1,0.0001,0.9999
605,1,0.0001,0.9999
606,1,0.0001,0.9999
607,1,0.0011,0.9989
608,1,0.0,1.0
609,1,0.0001,0.9999
610,1,0.0418,0.9582
611,1,0.0004,0.9996
612,1,0.322,0.678
613,1,0.0037,0.9963
614,1,0.0115,0.9885
615,1,0.0,1.0
616,1,0.072,0.928
617,1,0.0009,0.9991
618,1,0.0019,0.9981
619,1,0.0,1.0
620,1,0.0169,0.9831
621,1,0.0004,0.9996
622,1,0.0003,0.9997
623,1,0.0001,0.9999
624,1,0.0133,0.9867
625,1,0.0018,0.9982
626,1,0.0026,0.9974
627,1,0.001,0.999
628,1,0.0054,0.9946
629,1,0.0001,0.9999
630,1,0.0005,0.9995
631,1,0.0003,0.9997
632,1,0.0004,0.9996
633,1,0.1287,0.8713
634,1,0.0,1.0
635,1,0.0022,0.9978
636,1,0.0012,0.9988
637,1,0.0666,0.9334
638,1,0.0002,0.9998
639,1,0.0455,0.9545
640,1,0.0022,0.9978
641,1,0.0001,0.9999
642,1,0.0415,0.9585
643,1,0.0001,0.9999
644,1,0.0,1.0
645,1,0.073,0.927
646,1,0.0001,0.9999
647,1,0.0014,0.9986
648,1,0.0027,0.9973
649,1,0.0011,0.9989
650,1,0.0013,0.9987
651,1,0.0001,0.9999
652,1,0.0,1.0
653,1,0.0003,0.9997
654,1,0.0359,0.9641
655,1,0.0101,0.9899
656,1,0.0001,0.9999
657,1,0.0,1.0
658,1,0.0002,0.9998
659,1,0.0003,0.9997
660,1,0.0483,0.9517
661,1,0.002,0.998
662,1,0.0001,0.9999
663,1,0.0011,0.9989
664,1,0.0121,0.9879
665,1,0.0558,0.9442
666,1,0.0041,0.9959
667,1,0.2382,0.7618
668,1,0.0498,0.9502
669,1,0.049,0.951
670,1,0.0039,0.9961
671,1,0.0073,0.9927
672,1,0.0,1.0
673,1,0.1287,0.8713
674,1,0.0017,0.9983
675,1,0.0035,0.9965
676,1,0.0098,0.9902
677,1,0.0,1.0
678,1,0.0001,0.9999
679,1,0.001,0.999
680,1,0.0001,0.9999
681,1,0.0,1.0
682,1,0.0093,0.9907
683,1,0.0097,0.9903
684,1,0.0001,0.9999
685,1,0.2357,0.7643
686,1,0.0001,0.9999
687,1,0.0119,0.9881
688,1,0.0002,0.9998
689,1,0.0006,0.9994
690,1,0.1688,0.8312
691,1,0.0012,0.9988
692,1,0.0,1.0
693,1,0.0016,0.9984
694,1,0.0959,0.9041
695,1,0.0001,0.9999
696,1,0.0888,0.9112
697,1,0.0001,0.9999
698,1,0.0,1.0
699,1,0.3607,0.6393
700,1,0.0018,0.9982
701,1,0.0009,0.9991
702,1,0.0,1.0
703,1,0.0009,0.9991
704,1,0.0001,0.9999
705,1,0.0096,0.9904
706,1,0.0034,0.9966
707,1,0.0001,0.9999
708,1,0.004,0.996
709,1,0.0188,0.9812
710,1,0.0012,0.9988
711,1,0.0,1.0
712,1,0.0014,0.9986
713,1,0.0415,0.9585
714,1,0.0026,0.9974
715,1,0.0,1.0
716,1,0.0014,0.9986
717,1,0.001,0.999
718,1,0.1062,0.8938
719,1,0.0028,0.9972
720,1,0.0002,0.9998
721,1,0.0,1.0
722,1,0.0149,0.9851
723,1,0.0001,0.9999
724,1,0.0058,0.9942
725,1,0.0007,0.9993
726,1,0.0016,0.9984
727,1,0.0058,0.9942
728,1,0.0001,0.9999
729,1,0.0001,0.9999
730,1,0.0014,0.9986
731,1,0.0254,0.9746
732,1,0.0366,0.9634
733,1,0.3194,0.6806
734,1,0.0002,0.9998
735,1,0.0005,0.9995
736,1,0.0186,0.9814
737,1,0.0002,0.9998
738,1,0.0023,0.9977
739,1,0.0084,0.9916
740,1,0.0002,0.9998
741,1,0.0003,0.9997
742,1,0.0017,0.9983
743,1,0.018,0.982
744,1,0.014,0.986
745,1,0.0001,0.9999
746,1,0.0027,0.9973
747,1,0.0176,0.9824
748,1,0.0007,0.9993
749,1,0.0464,0.9536
750,1,0.0002,0.9998
751,1,0.0002,0.9998
752,1,0.0001,0.9999
753,1,0.0001,0.9999
754,1,0.0001,0.9999
755,1,0.0001,0.9999
756,1,0.0001,0.9999
757,1,0.0018,0.9982
758,1,0.0004,0.9996
759,1,0.0023,0.9977
760,1,0.0003,0.9997
761,1,0.0001,0.9999
762,1,0.0485,0.9515
763,1,0.0003,0.9997
764,1,0.0001,0.9999
765,1,0.0,1.0
766,1,0.0001,0.9999
767,1,0.0055,0.9945
768,1,0.0001,0.9999
769,1,0.0001,0.9999
770,1,0.3273,0.6727
771,1,0.0,1.0
772,1,0.0001,0.9999
773,1,0.462,0.538
774,1,0.0001,0.9999
775,1,0.0009,0.9991
776,1,0.0015,0.9985
777,1,0.0169,0.9831
778,1,0.0081,0.9919
779,1,0.0017,0.9983
780,1,0.0072,0.9928
781,1,0.003,0.997
782,1,0.0,1.0
783,1,0.0266,0.9734
784,1,0.0387,0.9613
785,1,0.0,1.0
786,1,0.0138,0.9862
787,1,0.0,1.0
788,1,0.0001,0.9999
789,1,0.0,1.0
790,1,0.0001,0.9999
791,1,0.0,1.0
792,1,0.0006,0.9994
793,1,0.0002,0.9998
794,1,0.0015,0.9985
795,1,0.002,0.998
796,1,0.0031,0.9969
797,1,0.0008,0.9992
798,1,0.0091,0.9909
799,1,0.0001,0.9999
800,1,0.0,1.0
801,1,0.1072,0.8928
802,1,0.0137,0.9863
803,1,0.0001,0.9999
804,1,0.0001,0.9999
805,1,0.0,1.0
806,1,0.0012,0.9988
807,1,0.0185,0.9815
808,1,0.0032,0.9968
809,1,0.001,0.999
810,1,0.0003,0.9997
811,1,0.0006,0.9994
812,1,0.0022,0.9978
813,1,0.0,1.0
814,1,0.0001,0.9999
815,1,0.0121,0.9879
816,1,0.0003,0.9997
817,1,0.0081,0.9919
818,1,0.0163,0.9837
819,1,0.0001,0.9999
820,1,0.0304,0.9696
821,1,0.0,1.0
822,1,0.0051,0.9949
823,1,0.0073,0.9927
824,1,0.0032,0.9968
825,1,0.0001,0.9999
826,1,0.0027,0.9973
827,1,0.2959,0.7041
828,1,0.1328,0.8672
829,1,0.0001,0.9999
830,1,0.0037,0.9963
831,1,0.0201,0.9799
832,1,0.0001,0.9999
833,1,0.0008,0.9992
834,1,0.0001,0.9999
835,1,0.0001,0.9999
836,1,0.0,1.0
837,1,0.0023,0.9977
838,1,0.0004,0.9996
839,1,0.0046,0.9954
840,1,0.0001,0.9999
841,1,0.0001,0.9999
842,1,0.0,1.0
843,1,0.0,1.0
844,1,0.0001,0.9999
845,1,0.0008,0.9992
846,1,0.0018,0.9982
847,1,0.0002,0.9998
848,1,0.0032,0.9968
849,1,0.0058,0.9942
850,1,0.0019,0.9981
851,1,0.0002,0.9998
852,1,0.2183,0.7817
853,1,0.0001,0.9999
854,1,0.0,1.0
855,1,0.0,1.0
856,1,0.0,1.0
857,1,0.0003,0.9997
858,1,0.0,1.0
859,1,0.0226,0.9774
860,1,0.0003,0.9997
861,1,0.0,1.0
862,1,0.0027,0.9973
863,1,0.0015,0.9985
864,1,0.0634,0.9366
865,1,0.0001,0.9999
866,1,0.0001,0.9999
867,1,0.0007,0.9993
868,1,0.0,1.0
869,1,0.0001,0.9999
870,1,0.0034,0.9966
871,1,0.0003,0.9997
872,1,0.1879,0.8121
873,1,0.0,1.0
874,1,0.0027,0.9973
875,1,0.0014,0.9986
876,1,0.0001,0.9999
877,1,0.0001,0.9999
878,1,0.0001,0.9999
879,1,0.0,1.0
880,1,0.0004,0.9996
881,1,0.0001,0.9999
882,1,0.0,1.0
883,1,0.0002,0.9998
884,1,0.0005,0.9995
885,1,0.0002,0.9998
886,1,0.0001,0.9999
887,1,0.001,0.999
888,1,0.0,1.0
889,1,0.0005,0.9995
890,1,0.0364,0.9636
891,1,0.0049,0.9951
892,1,0.0001,0.9999
893,1,0.0003,0.9997
894,1,0.0,1.0
895,1,0.0003,0.9997
896,1,0.0004,0.9996
897,1,0.0125,0.9875
898,1,0.001,0.999
899,1,0.0024,0.9976
900,1,0.0,1.0
901,1,0.0002,0.9998
902,1,0.0,1.0
903,1,0.0,1.0
904,1,0.0124,0.9876
905,1,0.0003,0.9997
906,1,0.0001,0.9999
907,1,0.4744,0.5256
908,1,0.0022,0.9978
909,1,0.0012,0.9988
910,1,0.0001,0.9999
911,1,0.004,0.996
912,1,0.0011,0.9989
913,1,0.0,1.0
914,1,0.0002,0.9998
915,1,0.0,1.0
916,1,0.0122,0.9878
917,1,0.0719,0.9281
918,1,0.0001,0.9999
919,1,0.0286,0.9714
920,1,0.0005,0.9995
921,1,0.0002,0.9998
922,1,0.0,1.0
923,1,0.0048,0.9952
924,1,0.0168,0.9832
925,1,0.0,1.0
926,1,0.0001,0.9999
927,1,0.0322,0.9678
928,1,0.0001,0.9999
929,1,0.0009,0.9991
930,1,0.0022,0.9978
931,1,0.4854,0.5146
932,1,0.0002,0.9998
933,1,0.0007,0.9993
934,1,0.0169,0.9831
935,1,0.0,1.0
936,1,0.0003,0.9997
937,1,0.0001,0.9999
938,1,0.0001,0.9999
939,1,0.0004,0.9996
940,1,0.0005,0.9995
941,1,0.0001,0.9999
942,1,0.0279,0.9721
943,1,0.13,0.87
944,1,0.0697,0.9303
945,1,0.0003,0.9997
946,1,0.0,1.0
947,1,0.4328,0.5672
948,1,0.0243,0.9757
949,1,0.0002,0.9998
950,1,0.0003,0.9997
951,1,0.0004,0.9996
952,1,0.0001,0.9999
953,1,0.0058,0.9942
954,1,0.037,0.963
955,1,0.0001,0.9999
956,1,0.0134,0.9866
957,1,0.0001,0.9999
958,1,0.0065,0.9935
959,1,0.0172,0.9828
960,1,0.0002,0.9998
961,1,0.0005,0.9995
962,1,0.0015,0.9985
963,1,0.0,1.0
964,1,0.0007,0.9993
965,1,0.076,0.924
966,1,0.0,1.0
967,1,0.0,1.0
968,1,0.0,1.0
969,1,0.0,1.0
970,1,0.0,1.0
971,1,0.0081,0.9919
972,1,0.0172,0.9828
973,1,0.0001,0.9999
974,1,0.1529,0.8471
975,1,0.0,1.0
976,1,0.4148,0.5852
977,1,0.0,1.0
978,1,0.0001,0.9999
979,1,0.0001,0.9999
980,1,0.0004,0.9996
981,1,0.0,1.0
982,1,0.0004,0.9996
983,1,0.0268,0.9732
984,1,0.0006,0.9994
985,1,0.0003,0.9997
986,1,0.0097,0.9903
987,1,0.0001,0.9999
988,1,0.0001,0.9999
989,1,0.0,1.0
990,1,0.0007,0.9993
991,1,0.002,0.998
992,1,0.0247,0.9753
993,1,0.0,1.0
994,1,0.0203,0.9797
995,1,0.0001,0.9999
996,1,0.0019,0.9981
997,1,0.0001,0.9999
998,1,0.0006,0.9994
999,1,0.0003,0.9997
1000,1,0.0,1.0
1001,1,0.0005,0.9995
1002,1,0.0024,0.9976
1003,1,0.1955,0.8045
1004,1,0.0,1.0
1005,1,0.0148,0.9852
1006,1,0.1843,0.8157
1007,1,0.0015,0.9985
1008,1,0.0034,0.9966
1009,1,0.0022,0.9978
1010,1,0.0366,0.9634
1011,1,0.0125,0.9875
1012,1,0.0001,0.9999
1013,1,0.008,0.992
1014,1,0.0003,0.9997
1015,1,0.0009,0.9991
1016,1,0.0,1.0
1017,1,0.0028,0.9972
1018,1,0.0,1.0
1019,1,0.006,0.994
1020,1,0.0002,0.9998
1021,1,0.0021,0.9979
1022,1,0.0086,0.9914
1023,1,0.0003,0.9997
1024,1,0.0247,0.9753
1025,1,0.0,1.0
