accX;accY;accZ;gyroX;gyroY;gyroZ;Activity
0.251178;1.858835;8.091873;0.146769;-0.101128;-0.07934;1
0.405507;1.705703;12.764257;-0.01603;0.108218;0.176792;1
-0.402064;2.882556;7.388935;-0.224403;0.04735;-0.407062;1
-1.390758;1.293909;9.862092;0.284148;-0.334813;0.21125;1
-0.758622;1.420995;10.250235;-0.183674;-0.617662;0.164038;1
-0.330812;2.353406;7.215595;-0.472439;0.035821;-0.027076;1
-0.99528;2.067201;8.86262;-0.285129;-0.216605;0.248724;1
-0.155676;1.701362;7.070247;0.177111;-0.042908;-0.255234;1
0.338746;1.708547;8.087532;0.039996;0.153341;-0.167088;1
-1.339415;3.682792;11.998748;0.08656;-0.005596;-0.289207;1
-0.541274;3.225792;7.829618;-0.349001;-0.230094;-0.280698;1
0.595462;2.035617;13.418995;0.014436;-0.032361;-0.111271;1
0.137714;2.793192;8.39125;-0.161343;0.195427;0.034896;1
-0.512235;2.476301;10.287657;-0.424916;0.353965;0.990753;1
0.202978;1.063538;11.376193;-0.168714;0.179114;-0.596496;1
1.225951;2.38978;11.95968;-0.284966;0.010225;-0.042423;1
0.701441;0.467178;10.00699;0.042453;-0.313553;-0.286739;1
-0.529748;3.658243;11.303295;-0.539217;0.346794;-0.482407;1
-0.066462;1.060245;10.359956;0.12143;0.164487;-0.086725;1
0.450713;2.049239;11.317964;-0.092174;-0.373718;-0.116394;1
1.188678;0.752036;8.138127;0.126916;0.047205;-0.40668;1
-0.083227;1.285078;14.014157;-0.220879;0.371915;0.063459;1
-0.075293;3.818859;11.010054;0.185664;0.020381;0.105016;1
0.369282;2.340683;8.61279;-0.093331;-0.124317;0.064508;1
-0.243544;2.518064;6.462212;-0.039325;0.150909;-0.235546;1
0.216899;3.320994;8.546178;-0.144421;0.072966;-0.307805;1
-0.51433;1.988615;6.842421;0.146626;-0.193821;0.033992;1
-0.248334;3.501818;7.735015;-0.057555;-0.02965;-0.278142;1
1.663341;1.113834;10.132879;0.493796;-0.212793;0.404588;1
1.641936;-0.46149;12.646751;0.308892;-0.12329;-0.378074;1
0.100142;3.911366;11.57468;-0.124639;-0.41539;-0.226098;1
-0.159868;2.5968;6.575826;0.134788;-0.257097;0.026362;1
-0.56268;3.434608;10.724748;0.090392;0.512082;0.185243;1
-0.431852;4.057612;9.298214;0.154467;-0.358172;0.186646;1
0.064216;3.479365;7.242988;0.162709;0.114967;-0.141821;1
-0.029489;3.136877;6.911428;0.2391;0.370282;-0.207929;1
1.144071;1.566343;10.141261;-0.752793;0.261983;-0.702807;1
-0.006437;2.92881;8.522976;-0.233463;-0.093892;-0.082859;1
0.960403;2.018103;12.273427;-0.112722;0.368631;0.181265;1
0.9619;2.749931;11.530672;-0.088759;0.016499;-0.520125;1
0.66342;1.465004;7.580836;-0.080109;-0.074063;-0.349831;1
0.227677;3.612887;11.707305;-0.495533;-0.266546;0.049368;1
0.371078;2.552941;6.898704;-0.742384;-0.40062;0.091258;1
0.553549;2.197281;13.054653;0.316296;0.034335;-0.013787;1
0.045954;2.728526;8.758437;-0.251568;0.09384;0.004243;1
-0.004042;1.998644;11.489807;-0.204462;-0.361238;0.004399;1
-0.667312;1.090033;6.856043;-0.030789;0.014602;-0.249167;1
0.509989;1.751508;12.08437;-0.028088;0.082909;-0.104678;1
-0.298779;2.807861;11.110496;0.214956;1.042392;0.401367;1
-0.62974;3.373535;11.33443;0.464052;0.102784;0.287303;1
-0.839604;1.582659;9.413175;0.002798;0.000613;0.023372;1
0.01931;1.475631;12.312346;-0.237046;-0.003582;-0.283726;1
-0.499811;3.090623;8.440797;0.024136;0.233476;0.453398;1
-0.218546;2.549199;8.978479;-0.047451;0.337273;0.169923;1
-1.337469;1.910327;10.451416;-0.05958;0.001714;0.047101;1
1.015488;1.852398;11.073672;0.020711;-0.03132;-0.108661;1
0.179776;2.14489;7.192992;0.227341;-0.057283;0.116116;1
-0.580044;2.241289;7.177874;0.033066;0.632326;0.017666;1
-0.187859;2.265838;6.789282;0.18315;-0.138569;-0.235865;1
-0.315694;3.082091;5.483697;-0.107621;-0.022227;-0.049651;1
-1.224005;2.656675;11.888727;0.300855;0.063438;-0.14127;1
-0.944386;1.848207;9.644893;0.023861;0.250299;0.207106;1
0.124242;1.756447;7.772138;0.400568;-0.088216;0.448228;1
-0.458497;2.922223;9.142388;0.221627;-0.305421;-0.150874;1
-0.828527;1.432521;9.163345;-0.054369;0.22242;0.008374;1
-0.13936;2.430645;6.68435;-0.038657;-0.15632;0.178254;1
-0.749791;2.95246;8.64153;0.018193;0.093463;0.135011;1
-0.67345;1.657952;9.745634;0.489532;0.222294;-0.545;1
0.328267;3.73159;10.082433;-0.35042;-0.387472;0.157789;1
-0.14909;2.32257;10.188413;0.160196;0.067418;-0.059844;1
0.533042;2.292333;5.814658;0.125698;0.060057;-0.313155;1
1.572779;1.051114;8.779992;0.621914;0.116887;-0.313487;1
0.986748;1.825155;9.312584;-0.308551;-0.082561;-0.231259;1
-0.574356;1.290167;9.732162;-0.36258;-0.42348;0.478314;1
0.526006;0.936752;8.864117;-0.079964;-0.15409;-0.26048;1
-1.087039;2.071093;11.563903;-0.137215;0.235737;-0.109462;1
-0.078587;1.753304;6.791976;-0.229084;-0.154712;0.123866;1
0.903671;1.319057;11.758049;0.231697;-0.104074;0.095202;1
-0.647553;1.737587;12.127481;-0.244417;0.29792;-0.613539;1
-0.726589;3.873645;9.520502;0.063964;-0.022081;0.278334;1
-0.484991;1.85614;10.446027;0.259627;-0.123692;-0.221263;1
0.508193;1.462608;5.739365;0.466122;-0.149091;0.062495;1
0.307012;0.819396;10.284214;0.512547;-0.072451;0.008993;1
0.14924;2.210753;11.881093;-0.109974;-0.086279;0.177693;1
0.602347;2.634072;11.885284;-0.317867;-0.484607;-0.547459;1
0.413291;1.950743;7.320527;-0.011276;-0.223902;0.158828;1
0.765059;1.953138;8.424182;-0.137202;0.106711;-0.221865;1
-0.106728;1.832639;6.552474;0.022956;-0.096657;0.010643;1
-0.797392;1.831142;10.506352;-0.055898;-0.089209;0.182417;1
-0.353565;1.701661;7.775581;0.203248;-0.078418;-0.081137;1
0.361199;1.348396;13.086387;0.021948;-0.304364;0.381954;1
-0.090412;2.063908;6.697373;0.060718;0.031095;-0.091558;1
0.463436;1.150208;7.255562;0.093159;-0.152118;-0.112917;1
0.333207;3.358266;10.229727;-0.159841;0.398138;0.218691;1
-0.151934;1.350342;7.003037;-0.270619;0.020524;-0.014185;1
-0.921633;1.778901;9.68486;-0.004446;0.065011;-0.104902;1
0.291893;2.700235;11.685151;-0.049939;-0.110876;-0.070878;1
0.135768;-0.047601;12.065809;0.165904;-0.329875;-0.065731;1
0.396376;3.798351;10.668315;0.089528;-0.04304;-0.167485;1
-0.124242;3.634292;8.481213;0.118486;-0.063705;0.205438;1
-0.183818;3.241659;11.292667;0.239881;0.085038;-0.209325;1
0.810714;2.022893;12.217593;-1.11554;-0.566669;-0.084579;1
-0.419128;2.082769;6.942114;0.034989;-0.00301;0.01742;1
0.045505;2.62554;8.381371;0.045782;-0.208295;-0.632645;1
-0.821492;0.95217;12.19035;-0.006533;0.05727;0.017542;1
-0.399968;3.268304;9.589958;-0.315229;0.106023;0.044851;1
0.058828;2.97192;8.310418;-0.177012;-0.356522;-0.304987;1
0.135768;1.912124;6.696774;0.247246;-0.031656;-0.094173;1
-0.471969;3.677552;8.757988;0.387443;-0.281206;-0.323513;1
0.773591;0.768801;13.253739;0.143827;-0.086272;-0.125783;1
-0.557291;4.093837;9.432036;-0.114412;-0.053181;0.296347;1
0.150287;0.761167;12.721146;0.0116;0.01919;0.05249;1
-0.437241;2.650538;8.133187;-0.216155;0.061328;0.024692;1
-0.651296;2.881208;11.623928;-0.075196;-0.107252;-0.076464;1
0.093106;3.01054;11.662697;-0.25134;0.062085;0.044979;1
-0.173789;3.10634;7.328909;0.052514;-0.025199;0.059204;1
0.554447;2.744692;8.980874;-0.096781;0.054276;-0.363068;1
1.103954;2.006877;11.062146;-0.0582;0.181096;0.098216;1
1.525777;1.999392;9.810299;0.327091;-0.438056;0.323759;1
1.139281;2.037563;9.028775;-0.042074;-0.169496;-0.064722;1
-1.301543;1.079106;11.353889;0.127104;0.06881;0.204198;1
-0.458646;1.867666;6.869664;0.150566;0.003026;-0.348401;1
0.528701;1.273701;7.399712;0.17139;-0.314887;0.031027;1
0.426613;1.743874;10.974878;-1.004859;-0.191672;-0.14968;1
-1.197659;2.270479;11.414813;-0.42302;0.145453;0.088131;1
0.564476;1.50048;11.026969;-0.718755;0.323408;0.392636;1
0.556692;2.328109;9.04554;0.22677;0.020409;-0.032104;1
0.786165;1.623823;13.142819;0.052993;0.083998;0.039212;1
0.188757;2.074686;5.200635;0.127154;0.050992;0.405057;1
0.70219;1.9717;8.935219;0.418735;0.162997;0.171611;1
-0.414638;2.703528;11.544294;0.285754;-0.143989;-0.140984;1
-0.835562;0.255519;10.40157;-0.680568;-0.492205;-0.133652;1
0.317789;3.958219;9.961635;-0.617877;-0.319214;0.203278;1
2.070195;0.273481;10.443183;0.301423;-0.203185;0.034407;1
-0.094005;2.114952;7.281758;-0.163353;-0.296567;-0.242744;1
-0.413889;1.392105;9.866433;0.047614;0.324566;-0.216535;1
0.843197;1.967808;10.933264;-0.034687;0.204828;-0.149147;1
0.668959;3.146008;11.4452;-0.010976;0.039771;0.0495;1
0.130978;4.025279;11.311677;0.109103;-0.057333;-0.023051;1
0.333357;2.501448;7.219038;-0.312904;-0.38779;-0.358621;1
0.171094;1.149759;10.101893;0.045192;0.277592;0.212633;1
1.519191;2.768194;8.834329;-0.835463;-0.379736;0.071683;1
0.154628;1.456322;7.432344;0.400866;0.012845;-0.352652;1
0.103585;2.20222;7.589518;0.450333;-0.432092;0.188054;1
0.018262;3.252736;8.716075;0.24876;-0.381306;0.453102;1
0.787363;2.438579;8.653655;-0.215376;0.156999;0.286738;1
0.739462;2.327959;11.931538;0.107877;-0.203689;0.123049;1
0.012125;3.350932;11.827654;0.424674;0.088716;0.236818;1
0.542322;0.96654;6.007158;-0.163671;-0.276583;0.21084;1
-0.075293;3.272046;11.043285;-0.18358;-0.35891;-0.043684;1
-0.713117;1.222508;9.745784;-0.072769;0.203523;-0.132756;1
0.313897;0.59636;12.728331;-0.065202;-0.034251;0.009778;1
0.72599;1.661994;7.787107;-0.02322;-0.119028;0.353196;1
0.662522;1.124462;6.780151;0.040722;0.154056;-0.032259;1
-0.615221;2.717748;11.509566;-0.119204;-0.031367;-0.135447;1
-0.184566;1.881737;7.286398;0.153195;-0.180539;0.207111;1
1.462159;1.630709;9.976304;0.139254;0.190655;0.311919;1
0.214205;1.081351;11.931688;-0.046191;0.057196;0.160162;1
0.648152;1.676813;8.851094;0.12831;-0.338505;0.060729;1
1.13494;1.381477;8.374485;0.27716;-0.791616;-0.562393;1
0.030237;3.887117;10.636731;-0.767039;-0.442267;-0.062628;1
0.019609;2.864144;9.391919;-0.612008;-0.230184;0.122924;1
-1.195863;3.335364;9.005573;0.216463;-0.216247;-0.035749;1
4.401747;0.815205;10.986254;0.189947;-0.045027;0.020181;1
0.587828;1.188229;7.237749;0.110684;-0.055553;0.177988;1
0.273332;2.745141;10.265203;0.021993;0.116906;0.114035;1
-0.347278;2.502346;9.664053;0.075611;-0.325767;-0.385388;1
0.232018;1.710643;7.429201;-0.259589;0.112784;0.239547;1
-0.202229;1.511706;7.666308;-0.061596;-0.351936;0.07435;1
0.655038;1.660048;9.549242;-0.609478;-0.473604;-0.174622;1
0.64426;-0.109572;11.167527;0.148552;0.327531;0.265552;1
0.476908;1.912273;8.847801;-0.235905;-0.146996;-0.134784;1
-0.733175;3.598667;7.123237;-0.004142;0.097545;0.287557;1
-0.549058;1.468596;9.456585;-0.28071;-0.141578;-0.170605;1
-0.603395;0.749491;12.735217;0.003594;-0.325527;-0.05355;1
0.546663;4.071384;11.610456;0.43144;0.059979;0.219778;1
-0.501457;1.200953;8.32389;0.170348;-0.33226;-0.174957;1
0.609083;-0.464933;9.019045;-0.008713;-0.12891;-0.289421;1
-0.051643;2.949916;6.610254;0.228824;-0.139973;0.068491;1
-0.651146;2.711461;8.771609;-0.284037;0.089028;-0.153622;1
-0.915496;2.954257;11.490855;0.046344;-0.161704;-0.053262;1
0.786315;4.228108;9.174422;0.164625;-0.093406;-0.350627;1
0.465532;2.613116;11.06035;0.127591;0.108485;0.098997;1
0.042811;3.888763;9.10811;0.028806;-0.142945;-0.074961;1
0.32198;3.73174;9.575587;0.163802;-0.284757;-0.025634;1
-0.118254;2.506238;6.048622;-0.118213;0.158148;0.40197;1
0.256866;1.279988;11.975696;-0.296114;0.254227;0.260226;1
1.340163;2.421365;10.876382;-0.65332;-0.32677;-0.210508;1
-1.159339;3.428021;9.308842;0.065471;0.221068;-0.343199;1
-0.10568;2.652634;10.408156;-0.769587;-0.099549;-0.51394;1
-0.091759;4.136797;11.797717;-0.185039;-0.53998;-0.190752;1
0.610431;0.271236;8.916508;0.201879;-0.022272;-0.131755;1
0.165855;3.273692;7.848329;0.338459;0.407992;0.251961;1
2.127077;0.478555;12.073144;0.077925;0.201524;-0.037844;1
-0.844544;1.831142;11.509566;-0.080093;0.050551;-0.118227;1
0.073647;3.460504;11.604468;0.116243;-0.188589;-0.013483;1
-0.280966;1.321302;7.351363;-0.092752;0.003048;-0.197316;1
0.510439;2.523153;6.537805;0.22951;-0.144813;0.228477;1
0.223186;2.264341;7.510332;0.258304;-0.320928;0.315873;1
0.012424;3.212769;9.648336;0.012278;-0.119184;-0.198868;1
0.215552;2.001189;13.286371;0.017983;-0.267642;0.264979;1
0.75997;2.41418;12.250525;-0.272315;0.060152;-0.362994;1
0.235011;2.342479;6.555468;-0.240515;-0.027124;-0.128745;1
-1.565894;1.294957;9.549242;0.164444;-0.005166;-0.004187;1
1.123863;1.021326;14.583723;0.169837;0.185449;0.28054;1
-1.01923;1.204545;12.960049;0.352165;0.060434;-0.24177;1
1.977687;0.053589;13.621075;0.114627;0.221621;0.495138;1
0.037272;1.816024;6.234386;0.033939;-0.156473;0.065;1
-1.858685;1.857038;11.477981;0.010706;-0.009182;-0.002643;1
1.364562;1.822011;9.857601;-0.20809;-0.203481;0.094521;1
-0.136217;2.86115;6.441255;0.121444;-0.037391;-0.17614;1
-0.352966;4.331842;8.355026;0.473847;-0.032972;-0.005187;1
-0.829126;1.537752;7.627538;-0.525076;-0.464949;-0.010171;1
-0.677641;4.065995;12.073144;-1.039337;-0.368083;-0.373631;1
0.376467;1.437311;7.580985;0.170833;-0.113301;-0.11674;1
-0.531096;0.496517;9.862391;-0.879063;0.038775;0.410813;0
-0.590971;0.613574;9.657018;0.126751;0.337943;-0.117518;0
-0.414338;0.742905;9.845327;-0.422442;-1.141854;0.489176;0
-0.36524;0.927322;9.890682;-0.017481;0.000188;0.003276;0
-0.307461;1.033301;9.838291;-0.031963;0.005353;-0.009892;0
-0.414488;1.018482;10.240954;0.014163;0.0264;0.019981;0
-0.473465;1.172811;9.720486;0.260681;0.076778;0.005099;0
-0.680186;1.805396;9.830058;0.058838;-0.475355;0.411855;0
-0.712069;1.920955;9.668544;0.136558;0.214719;0.13983;0
-1.175655;1.595682;9.651629;-0.84974;0.075634;0.140038;0
-1.698668;-0.388592;12.534933;0.006224;0.012747;0.01144;0
-1.290466;1.352138;7.841294;-0.020548;0.002438;0.011652;0
-0.766706;1.265019;9.083261;0.148099;0.0344;0.279559;0
-0.596959;2.111359;9.710307;0.271613;-0.119466;0.263353;0
-0.493823;0.978515;8.411458;-0.328651;0.301504;-0.661784;0
-0.401465;1.82276;9.641301;-0.476224;0.358196;-0.314593;0
-0.73078;2.00523;9.510473;-0.106809;0.590908;-0.18477;0
-0.396525;0.550405;9.576037;0.009053;-0.042808;0.023791;0
-0.16361;1.276994;9.613758;-0.138859;-0.064364;0.272787;0
-1.058599;0.548759;10.327175;-0.011381;0.014635;0.016793;0
-0.671653;1.873354;9.553434;-0.581557;-0.117849;-0.652589;0
-0.296084;1.234034;9.650582;-0.000874;0.007101;0.019615;0
-0.637375;1.042582;9.417816;-0.250482;-0.054718;0.032897;0
-0.397274;1.049767;9.724677;-0.182145;-0.069453;0.166906;0
-0.06736;1.331481;7.553742;-0.010093;-0.029981;0.014419;0
-0.888552;1.453028;7.605684;0.073283;-0.069422;-0.138257;0
-0.29339;1.367556;9.483679;0.117052;-0.47132;0.427315;0
-0.815354;1.442251;9.670191;-0.115754;-0.246302;0.051783;0
-0.761616;1.992357;7.860155;0.013219;-0.042105;-0.020139;0
-0.691412;1.551823;8.486452;-0.035882;-0.07434;0.201614;0
-0.135618;1.496438;9.960437;0.14241;0.09394;0.391293;0
-0.381557;1.068478;9.726623;-0.409844;-0.299259;0.077927;0
-0.775088;1.65436;9.436976;0.01169;-0.209703;-0.32254;0
-0.661924;1.908531;9.745334;-0.907507;-0.091251;0.207037;0
-0.715811;1.925446;9.674382;0.041058;0.080695;-0.028277;0
-0.767005;2.506987;7.325916;-0.423846;-0.317203;0.02509;0
-0.605191;1.76019;9.590706;0.00145;-0.649212;-0.355335;0
-0.561931;1.853296;9.597592;0.351982;-0.390396;0.1295;0
-1.21203;1.042582;9.618099;-0.074176;0.038396;-0.022507;0
-1.041235;1.660796;9.173074;-0.383167;0.221353;-0.020238;0
-0.645158;2.080074;8.818013;-0.537402;-0.239174;-0.149205;0
-0.670156;1.849704;9.72348;0.297655;0.282073;0.270887;0
-0.585283;1.007106;8.618478;0.167731;-0.165915;0.066864;0
-0.486189;1.133144;9.756262;-0.769885;-0.099687;1.124462;0
-0.58184;2.745141;8.859177;0.175829;0.385424;-0.2939;0
-0.451311;0.920137;10.355915;0.034225;-0.009968;0.009031;0
-0.569715;0.561482;9.842333;-0.000545;0.02306;-0.050996;0
-1.047073;1.716481;9.563912;0.009272;-0.012205;-0.003654;0
-0.742007;1.890569;9.771829;0.235377;-0.060932;-0.134348;0
-0.483794;1.032104;9.798923;-0.450533;0.205747;0.101347;0
-0.503703;1.30813;9.532776;0.207224;-0.07751;-0.22451;0
-0.650697;0.543969;9.938882;0.02221;0.005062;0.01231;0
-2.617607;-0.224533;12.927866;0.030322;0.003179;0.002652;0
-0.814606;1.584605;7.286548;-0.004665;-0.006624;-0.002249;0
0.032033;0.93286;11.152558;-0.008778;0.01909;0.024414;0
-0.853226;0.516127;8.004455;0.014259;0.010913;0.005932;0
-0.646206;1.937571;9.613159;-1.041542;-0.113856;-0.270079;0
-1.430276;-0.18262;13.341606;-0.019446;-0.024995;0.009715;0
0.027094;0.170495;10.484198;-0.530791;-0.555561;0.57897;0
-0.523012;0.5772;9.756262;-0.01385;-0.017025;0.000618;0
-1.416504;1.381627;8.727451;0.011965;0.004151;-0.011988;0
-1.129102;1.311872;9.115295;0.022293;0.006472;-0.032613;0
-0.397723;1.815874;9.661808;-1.190901;-0.195453;-0.304764;0
-0.720452;1.170117;9.044492;-0.652571;0.269175;0.399728;0
-0.662822;1.807641;9.754465;-0.521668;-0.362871;0.006228;0
-0.594863;0.596659;9.910142;0.005942;-0.006285;0.010336;0
-0.647404;1.103206;9.774374;0.17568;0.385049;-0.072617;0
-0.437091;1.012045;9.750723;-0.512353;-0.267053;0.581103;0
-0.547112;1.075663;9.928853;0.41536;-0.183923;0.034417;0
-0.626896;0.496368;11.847862;1.007572;0.610799;0.395648;0
-1.086441;0.418081;11.323652;0.006621;-0.012998;-0.032604;0
-0.780926;1.360521;10.039772;0.156189;-0.040951;0.187227;0
-1.048719;1.739233;10.535092;-0.17633;0.154899;-0.66622;0
-0.324675;1.721869;10.300979;0.20399;0.601995;0.203287;0
-0.41853;1.825753;9.578881;-0.037656;-0.02245;0.026933;0
-0.415237;2.01032;9.612561;0.334578;0.15395;0.272942;0
-0.977168;1.453178;9.915081;-0.117394;0.090018;-0.038271;0
-0.613873;1.48102;9.207952;0.018051;-0.219527;0.055499;0
-0.510888;0.628094;10.043365;0.024676;0.065556;-0.014437;0
-0.272284;0.720152;11.490256;0.022578;-0.013188;0.013004;0
-1.724564;0.450413;11.899954;-0.010348;-0.023901;0.326473;0
-0.738265;1.177152;9.821227;-0.604359;0.215324;0.399861;0
-1.499432;-0.249381;13.909675;-0.017459;0.047431;-0.040956;0
0.385748;0.628094;12.082424;0.009967;-0.024024;0.049358;0
-0.322579;1.07701;9.577833;-0.045688;0.001231;-0.016656;0
-3.673361;-0.358954;14.46472;-0.006592;-0.008663;-0.005199;0
-0.675845;1.693428;9.243129;0.117687;-0.188439;-0.000662;0
-0.411345;0.726589;9.846674;0.010058;0.005086;0.012459;0
-0.642763;0.487686;9.900711;-0.221828;0.045993;0.365286;0
-0.420476;2.621049;9.021739;-0.298156;-0.295729;0.271296;0
-0.868943;1.709296;9.331894;0.164246;-0.517076;0.108699;0
-0.424817;1.449735;9.681567;0.174473;0.204737;0.190417;0
-1.04348;1.791325;11.261532;0.359497;0.273341;0.342292;0
0.070503;1.794169;8.908125;0.279125;0.592493;0.42413;0
-0.251776;0.771496;11.678115;-0.024175;-0.008582;0.043515;0
-0.545466;1.824706;9.856254;0.091497;-0.305472;-0.170727;0
-0.593067;1.222657;9.754316;0.300353;-0.172923;-0.375365;0
-0.459694;1.12521;9.704469;0.113584;-0.090515;0.113567;0
-0.615221;1.799408;9.955497;0.450108;-0.247925;0.103166;0
-0.696502;1.708397;9.684561;-0.117723;0.070399;-0.56403;0
-0.61552;1.224603;9.704769;0.453047;0.267418;-0.175204;0
-0.649948;1.941014;9.675729;-0.500605;-0.062959;0.221146;0
-0.7215;1.335074;9.845327;0.027477;-0.569299;-0.609759;0
-1.14931;1.087039;10.253528;0.007772;0.011556;0.026723;0
-0.685125;1.870211;9.606723;0.133305;-0.002112;0.053249;0
-0.55774;1.218167;9.917776;-0.31658;0.357055;-0.311221;0
-0.462838;1.486409;9.710457;0.160209;-0.802008;-0.209972;0
-0.349972;0.893193;10.994487;0.162184;-0.244136;0.457271;0
-0.811013;1.539249;9.355545;-0.009553;0.016649;0.033378;0
0.269739;0.496817;10.280771;-0.263538;-0.106339;-0.130003;0
-0.507894;1.104553;9.649384;-0.019288;0.135899;0.539694;0
-0.592618;0.641416;9.244626;0.177522;0.223143;0.347491;0
-0.63498;1.178948;9.964928;0.153381;0.023414;0.304969;0
-0.839454;1.734144;6.969657;0.009691;-0.008407;0.018161;0
-1.984124;0.429756;10.966495;0.384327;-0.211265;0.130966;0
-0.486638;0.590372;9.842333;-0.023501;-0.005914;0.017516;0
-0.652793;1.208587;10.052645;-0.498168;-0.170994;0.521672;0
-0.446372;1.107846;9.811497;0.004321;3e-06;-0.028912;0
-0.755629;1.012195;10.181228;-0.019854;0.00704;0.048355;0
-0.57211;0.811612;12.809612;-0.030517;0.066107;0.060103;0
-0.90876;1.082399;9.814341;-0.078839;0.220225;-0.051282;0
-0.611179;1.50048;9.797276;-0.210064;-0.344983;-0.471776;0
-0.46628;1.409619;9.590107;-0.002917;-0.021319;-0.016962;0
-0.515977;0.577948;9.794133;-0.516817;0.193006;0.330249;0
-1.189427;1.590892;11.880195;-0.005607;-0.469151;-0.086944;0
-0.612077;1.924847;9.616303;-0.563115;-0.135178;-0.207464;0
-0.501158;1.88967;11.980636;-0.007063;0.093679;0.292673;0
-0.859213;1.71693;8.092322;0.001102;0.008086;0.029267;0
-0.659529;1.932332;9.633667;0.397679;-0.074987;0.50345;0
-0.589624;1.767674;9.852811;0.091076;-0.120427;0.227088;0
-0.942141;1.686992;7.68951;-0.026375;-0.044595;-0.101403;0
-0.760119;1.315315;9.841135;-0.044205;0.02805;-0.109799;0
-0.371378;1.650767;9.7618;0.345488;-0.177356;-0.466284;0
0.202379;2.187252;9.36782;0.039443;0.04204;0.011794;0
-0.457;1.273252;9.643097;-0.122841;0.086413;0.27228;0
-0.70698;1.95224;9.356144;-0.128203;0.090803;-0.324165;0
-0.740061;1.345253;9.72348;0.117448;-0.12945;-0.331224;0
-0.758024;1.796115;9.63202;-0.38839;-0.497081;-0.122768;0
-0.355062;1.142424;8.978779;-0.217831;-0.153177;-0.238617;0
-0.571062;1.810485;9.488618;0.22234;0.267655;0.170526;0
0.237855;2.073039;7.702083;-0.00352;-0.028516;0.01868;0
-0.137414;2.373165;9.912537;-0.063355;-0.289337;0.346006;0
-0.34608;1.684447;9.759854;0.02238;-0.03332;0.019511;0
-0.600252;1.788032;9.726923;0.757649;0.681655;0.284051;0
-0.595911;1.955234;9.419612;-0.0565;0.326879;0.192113;0
-0.687969;1.924249;9.731413;-1.090037;-0.531017;-0.158176;0
-0.806523;1.512455;8.527168;-0.163832;0.13529;-0.055118;0
-0.586929;1.810485;9.712104;0.127516;0.08166;0.280892;0
-0.710572;1.726809;9.828262;0.588365;0.179834;-0.032836;0
-0.605042;0.576451;9.823921;0.243909;0.18639;0.448473;0
-1.006357;0.511187;10.54587;-0.017895;-0.02741;0.02523;0
0.029489;1.061592;12.174333;-0.137992;0.031622;0.007436;0
-0.134121;1.361269;6.585555;0.222729;0.050472;0.398226;0
-0.581391;1.762734;9.888886;0.341751;0.741598;0.315671;0
-0.455203;1.430126;10.219399;0.068312;0.11145;-0.16143;0
-0.919238;2.031276;9.48757;0.131884;0.024213;0.278584;0
-0.407602;0.605491;9.814491;0.009531;-0.01206;-0.005238;0
-0.650098;1.970652;9.958042;-0.804121;-0.709245;0.168944;0
