,Label,Prob0,aScore0,Prob1,aScore1,Prob2,aScore2
38,1,0.29,0.2900,0.3556,0.3556,0.3543,0.3543
39,1,0.2155,0.2155,0.4752,0.4752,0.3093,0.3093
40,1,0.2196,0.2196,0.4694,0.4694,0.311,0.311
41,1,0.2078,0.2078,0.5378,0.5378,0.2544,0.2544
42,1,0.232,0.2320,0.4739,0.4739,0.2942,0.2942
43,1,0.2177,0.2177,0.4745,0.4745,0.3079,0.3079
44,2,0.2359,0.2359,0.3695,0.3695,0.3947,0.3947
45,1,0.2069,0.2069,0.4825,0.4825,0.3107,0.3107
46,1,0.2075,0.2075,0.4859,0.4859,0.3066,0.3066
47,1,0.176,0.1760,0.5277,0.5277,0.2964,0.2964
48,1,0.21,0.2100,0.5166,0.5166,0.2734,0.2734
49,1,0.2078,0.2078,0.5112,0.5112,0.281,0.281
50,1,0.221,0.2210,0.4712,0.4712,0.3078,0.3078
51,1,0.2326,0.2326,0.4754,0.4754,0.2921,0.2921
52,1,0.2876,0.2876,0.373,0.373,0.3393,0.3393
53,1,0.1692,0.1692,0.5105,0.5105,0.3203,0.3203
54,1,0.2152,0.2152,0.4889,0.4889,0.296,0.296
55,1,0.2096,0.2096,0.5049,0.5049,0.2856,0.2856
56,1,0.1939,0.1939,0.528,0.528,0.2781,0.2781
57,1,0.2223,0.2223,0.4708,0.4708,0.3069,0.3069
58,1,0.1872,0.1872,0.5416,0.5416,0.2712,0.2712
59,1,0.2038,0.2038,0.497,0.497,0.2992,0.2992
60,1,0.2744,0.2744,0.4522,0.4522,0.2734,0.2734
61,1,0.217,0.2170,0.4688,0.4688,0.3142,0.3142
62,1,0.2086,0.2086,0.4931,0.4931,0.2983,0.2983
63,1,0.201,0.2010,0.4897,0.4897,0.3093,0.3093
64,1,0.2068,0.2068,0.5018,0.5018,0.2914,0.2914
65,1,0.2045,0.2045,0.5006,0.5006,0.2949,0.2949
66,1,0.2316,0.2316,0.4965,0.4965,0.2719,0.2719
67,1,0.1916,0.1916,0.5138,0.5138,0.2946,0.2946
68,1,0.2231,0.2231,0.4798,0.4798,0.2971,0.2971
69,1,0.2198,0.2198,0.4696,0.4696,0.3106,0.3106
70,1,0.2316,0.2316,0.4701,0.4701,0.2983,0.2983
71,1,0.1547,0.1547,0.5331,0.5331,0.3122,0.3122
72,1,0.2361,0.2361,0.4656,0.4656,0.2983,0.2983
73,1,0.2082,0.2082,0.4837,0.4837,0.3081,0.3081
74,1,0.2024,0.2024,0.4842,0.4842,0.3134,0.3134
75,1,0.2056,0.2056,0.4834,0.4834,0.311,0.311
76,1,0.2264,0.2264,0.4867,0.4867,0.287,0.287
77,1,0.2021,0.2021,0.4937,0.4937,0.3042,0.3042
78,1,0.2019,0.2019,0.5031,0.5031,0.2949,0.2949
79,1,0.1906,0.1906,0.5153,0.5153,0.2941,0.2941
80,1,0.2259,0.2259,0.4679,0.4679,0.3061,0.3061
81,1,0.2191,0.2191,0.4903,0.4903,0.2906,0.2906
82,1,0.2504,0.2504,0.4744,0.4744,0.2752,0.2752
83,1,0.2042,0.2042,0.4819,0.4819,0.3138,0.3138
84,1,0.1785,0.1785,0.5299,0.5299,0.2916,0.2916
85,1,0.2216,0.2216,0.4915,0.4915,0.2869,0.2869
86,1,0.2177,0.2177,0.4774,0.4774,0.3049,0.3049
87,1,0.212,0.2120,0.5235,0.5235,0.2645,0.2645
88,1,0.1999,0.1999,0.5057,0.5057,0.2944,0.2944
89,1,0.2285,0.2285,0.5012,0.5012,0.2703,0.2703
90,1,0.2449,0.2449,0.4799,0.4799,0.2752,0.2752
91,1,0.2066,0.2066,0.4915,0.4915,0.3019,0.3019
92,1,0.268,0.2680,0.4065,0.4065,0.3255,0.3255
93,1,0.2388,0.2388,0.5128,0.5128,0.2484,0.2484
94,1,0.1565,0.1565,0.6448,0.6448,0.1987,0.1987
95,1,0.2399,0.2399,0.4789,0.4789,0.2812,0.2812
96,1,0.2105,0.2105,0.4849,0.4849,0.3046,0.3046
97,1,0.2318,0.2318,0.4682,0.4682,0.3,0.3
98,1,0.2073,0.2073,0.5002,0.5002,0.2925,0.2925
99,1,0.1876,0.1876,0.529,0.529,0.2834,0.2834
